setting,pair_seed,alpha,train_loss,train_acc,test_loss,test_acc
D,0,0.0,0.3116496972084045,0.9037999996185303,0.5174299076080322,0.8435000005722046
D,0,0.1,0.3510723411560059,0.8840000009536744,0.5290896106719971,0.8299999996185303
D,0,0.2,0.5352710773468018,0.8189999981880188,0.6737043297767639,0.7773999994277954
D,0,0.3,1.0903798496246337,0.6362000003814697,1.167406446838379,0.6113999998092652
D,0,0.4,2.421144130706787,0.25799999978542326,2.4083813930511475,0.2621000001430511
D,0,0.5,2.850824001312256,0.1472000000834465,2.8215657234191895,0.14589999995231628
D,0,0.6,1.9657572067260742,0.33979999928474425,1.9970925060272218,0.33380000019073486
D,0,0.7,1.0312820404052734,0.6486000006675721,1.1110517150878907,0.6243999995231628
D,0,0.8,0.5311618871688842,0.8139999982833862,0.6545488596916199,0.7822000000953674
D,0,0.9,0.349667725610733,0.8810000000953674,0.5045223945617676,0.8382000001907348
D,0,1.0,0.31829705605506897,0.8959999997138977,0.48855320739746094,0.8460000001907348
D,1,0.0,0.33770426387786867,0.8944000005722046,0.4921827036857605,0.8516000004768371
D,1,0.1,0.3721686333656311,0.8766000008583069,0.5149710416793823,0.8366000003814698
D,1,0.2,0.5629103681564331,0.8073999981880188,0.6830496943473816,0.7814000005722046
D,1,0.3,1.1922450704574585,0.6028000009536744,1.255020085144043,0.5950000003814697
D,1,0.4,2.464009354400635,0.23419999940395356,2.461192207336426,0.23530000019073485
D,1,0.5,3.289736406326294,0.11320000008344651,3.2655323711395265,0.11170000005960465
D,1,0.6,2.744462115097046,0.261,2.7964037185668946,0.24999999995231628
D,1,0.7,1.3330227291107177,0.5785999968528748,1.398152344894409,0.5590999994277954
D,1,0.8,0.6426415534019471,0.7799999995231628,0.7516174466133118,0.7528
D,1,0.9,0.38935589323043823,0.8644000005722046,0.5423097894668579,0.8264000000953674
D,1,1.0,0.3284827742099762,0.8957999993324279,0.5012681152820587,0.8450999994277955
