pair,alignment,alpha,train_loss,train_acc,test_loss,test_acc
e5_2k_m0xm2,pre,0.0,1.4979172870635986,0.4837999994277954,1.528614850616455,0.4770999997138977
e5_2k_m0xm2,pre,0.1,1.5616645524978638,0.4587999982357025,1.5918568433761597,0.44620000004768373
e5_2k_m0xm2,pre,0.2,1.7126762781143188,0.4051999982833862,1.7372921058654784,0.3853
e5_2k_m0xm2,pre,0.3,1.941916590309143,0.3196000005722046,1.948536863708496,0.3187000000953674
e5_2k_m0xm2,pre,0.4,2.1894897647857667,0.26179999856948855,2.184014199066162,0.25939999966621397
e5_2k_m0xm2,pre,0.5,2.1902312187194823,0.2591999991416931,2.185386669921875,0.2615000002861023
e5_2k_m0xm2,pre,0.6,2.0854987205505373,0.2893999983787537,2.0993185245513915,0.291999999666214
e5_2k_m0xm2,pre,0.7,1.8713205797195434,0.3429999983310699,1.8889387315750121,0.3368
e5_2k_m0xm2,pre,0.8,1.6761714277267457,0.4075999984741211,1.6819720882415772,0.4003999999523163
e5_2k_m0xm2,pre,0.9,1.5498046142578126,0.4549999997615814,1.547944811630249,0.4486999998092651
e5_2k_m0xm2,pre,1.0,1.5123058391571045,0.4855999982357025,1.5166385145187378,0.474700000333786
e5_2k_m0xm2,post,0.0,1.5012339109420776,0.48239999923706056,1.5307655866622925,0.47689999990463255
e5_2k_m0xm2,post,0.1,1.5388366426467897,0.4623999996185303,1.5687409893035889,0.4508999999046326
e5_2k_m0xm2,post,0.2,1.668321262359619,0.4127999993801117,1.6850704769134521,0.41450000042915347
e5_2k_m0xm2,post,0.3,1.8883040487289429,0.33700000047683715,1.8902040584564208,0.3440000000953674
e5_2k_m0xm2,post,0.4,2.1176622848510744,0.294799999666214,2.1218738273620605,0.295099999666214
e5_2k_m0xm2,post,0.5,2.211130333328247,0.2804000006198883,2.225421180725098,0.279799999833107
e5_2k_m0xm2,post,0.6,2.0970481941223142,0.30700000042915343,2.1065046852111817,0.30159999985694885
e5_2k_m0xm2,post,0.7,1.875653261566162,0.3522000005722046,1.8814251892089844,0.34569999990463257
e5_2k_m0xm2,post,0.8,1.7175170925140382,0.40099999856948854,1.7139579412460326,0.40180000038146974
e5_2k_m0xm2,post,0.9,1.5767798992156983,0.45619999985694887,1.57508724193573,0.453000000333786
e5_2k_m0xm2,post,1.0,1.513192102432251,0.48519999871253966,1.519277933692932,0.472100000333786
e5_2k_m0xm1,pre,0.0,1.4993583736419678,0.48559999923706054,1.5296139520645142,0.4758999998092651
e5_2k_m0xm1,pre,0.1,1.6814262857437134,0.4187999987602234,1.7083820671081542,0.4156000000476837
e5_2k_m0xm1,pre,0.2,2.013971614074707,0.3214000003814697,2.008717050933838,0.3272000001430512
e5_2k_m0xm1,pre,0.3,2.2479518589019776,0.25839999885559084,2.2497193897247314,0.2555000001192093
e5_2k_m0xm1,pre,0.4,2.344495875167847,0.2087999993801117,2.3871535217285156,0.20020000009536743
e5_2k_m0xm1,pre,0.5,2.3715697559356688,0.19459999928474425,2.4533745788574217,0.18730000014305115
e5_2k_m0xm1,pre,0.6,2.2059553394317626,0.2281999994277954,2.261224327468872,0.2264000001192093
e5_2k_m0xm1,pre,0.7,1.9945270362854004,0.3053999984264374,2.03824979095459,0.2950999999046326
e5_2k_m0xm1,pre,0.8,1.7427901123046876,0.3829999987602234,1.7699152177810669,0.37759999976158143
e5_2k_m0xm1,pre,0.9,1.6178865867614747,0.43419999918937685,1.6457216793060303,0.4275999997138977
e5_2k_m0xm1,pre,1.0,1.6030616609573365,0.4591999985218048,1.6347685901641846,0.4478000002861023
e5_2k_m0xm1,post,0.0,1.4988706939697265,0.4817999994277954,1.5283098796844483,0.477900000333786
e5_2k_m0xm1,post,0.1,1.6082952436447144,0.4414000003814697,1.6167530155181884,0.43960000023841855
e5_2k_m0xm1,post,0.2,1.8117063364028931,0.377800000333786,1.8177644231796264,0.37070000033378603
e5_2k_m0xm1,post,0.3,2.0454460437774657,0.29619999918937684,2.051103094482422,0.29950000014305117
e5_2k_m0xm1,post,0.4,2.336892835998535,0.23879999952316283,2.3625604793548582,0.23290000011920928
e5_2k_m0xm1,post,0.5,2.4178723907470703,0.22539999921321868,2.444959545135498,0.2289000002145767
e5_2k_m0xm1,post,0.6,2.249225883102417,0.26659999923706057,2.2597925285339358,0.2728000002861023
e5_2k_m0xm1,post,0.7,1.9928362773895263,0.32920000038146974,1.9896609912872314,0.3362999998092651
e5_2k_m0xm1,post,0.8,1.7674969446182252,0.3891999985694885,1.7660119338989257,0.3936000000476837
e5_2k_m0xm1,post,0.9,1.6399425523757936,0.4385999990940094,1.657828160095215,0.42989999990463257
e5_2k_m0xm1,post,1.0,1.6069508922576905,0.45659999861717226,1.6387262636184692,0.44760000019073487
